13440000 300 958.03 777.353 
14711429 328.38 1044.84 6307.11 
15982857 356.76 1188.09 1258.1 
17254286 385.14 1890.61 1018.73 
18525714 413.52 1889.22 1295.61 
19797143 441.901 1913.1 1815.11 
21068571 470.281 2008.95 5958.98 
22340000 498.661 1928.76 1150.05 
23611429 527.041 1982.21 1933.32 
24882857 555.421 1714.65 2232.07 
26154286 583.801 1768.85 3612.85 
27425714 612.181 1871.12 1122.07 
28697143 640.561 1956.17 8734.32 
29968571 668.941 2327.77 2127.77 
31240000 697.321 2181.38 1428.57 
32511429 725.702 2016.18 3321.36 
33782857 754.082 3342.8 15289.5 
35054286 782.462 3745.66 1685.38 
36325714 810.842 3771.05 1823.42 
37597143 839.222 4073.94 3867.1 
38868571 867.602 3522.47 4520.45 
40140000 895.982 3965.55 3515.1 
41411429 924.362 3478.02 20768.2 
42682857 952.742 4301.8 3846.64 
43954286 981.122 3700.99 6219.43 
45225714 1009.5 4106.17 2791.72 
46497143 1037.88 4075.54 7868.54 
47768571 1066.26 4217.95 6904.41 
49040000 1094.64 4099.24 2749.88 
50311429 1123.02 4602.87 14602.8 
51582857 1151.4 4271.16 8208.77 
52854286 1179.78 4233.31 9191.46 
54125714 1208.16 4620.99 3632.82 
55397143 1236.54 4226.06 7088.91 
56668571 1264.92 4206.49 6328.64 
57940000 1293.3 4374.4 5453.9 
59211429 1321.68 4467.52 13226.7 
60482857 1350.06 4525.8 7035.06 
61754286 1378.44 4646.88 3598.84 
63025714 1406.82 5573.17 6351.83 
64297143 1435.2 4678.1 5659.21 
65568571 1463.58 4626.27 11979.4 
66840000 1491.96 4497.5 4329.71 
68111429 1520.34 7450.57 13005.1 
69382857 1548.72 7529.31 11323.7 
70654286 1577.1 7064.61 4594.17 
71925714 1605.48 7335 4328.42 
73197143 1633.86 7392.45 9104.21 
74468571 1662.24 7344.32 26393.1 
75740000 1690.62 8201.51 4095.28 
77011429 1719.01 7839.17 13749.4 
78282857 1747.39 7548.55 41793.8 
79554286 1775.77 7366.98 4630.39 
80640000 1800 8020.96 6004.02 
