0.0 0.0 0.0 0.0 0.0
225 0.00502232 0.2824 0.2588 1.3453
450 0.0100446 0.5999 0.5472 0.9959
675 0.015067 1.3439 1.3445 1.2198
900 0.0200893 1.2997 1.3145 1.3786
1125 0.0251116 2.7497 2.6567 2.2617
1350 0.0301339 2.7021 2.8591 1.7435
1575 0.0351562 2.6401 2.6952 1.626
1800 0.0401786 2.7931 2.6467 2.1473
2025 0.0452009 4.1289 3.8279 1.7454
2250 0.0502232 8.5596 8.3796 2.7805
2475 0.0552455 5.7488 6.3224 2.7848
2700 0.0602679 5.9742 6.8209 2.6708
2925 0.0652902 8.7167 8.7133 3.151
3150 0.0703125 9.7082 7.7703 3.7492
3375 0.0753348 6.4701 5.9078 3.1
3600 0.0803571 5.8763 6.2664 3.5845
3825 0.0853795 6.0869 10.5004 3.266
4050 0.0904018 5.9035 6.5885 3.2389
4275 0.0954241 12.5502 13.7691 5.2652
4500 0.100446 12.5874 12.585 5.1159
4725 0.105469 13.0058 12.3272 5.2917
4950 0.110491 13.0151 12.9968 13.7327
5175 0.115513 12.1023 13.0672 5.1771
5400 0.120536 16.6624 15.5902 5.4051
5625 0.125558 13.1337 12.8563 4.4583
5850 0.13058 12.9791 13.0674 4.3246
6075 0.135603 12.0426 21.7535 5.3507
6300 0.140625 12.8942 30.1673 4.4386
6525 0.145647 18.495 19.0077 7.0511
6750 0.15067 16.4548 17.1046 7.7113
6975 0.155692 15.484 16.2147 6.0298
7200 0.160714 15.432 18.5463 5.4716
7425 0.165737 15.6756 17.076 6.5203
7650 0.170759 19.5199 15.2555 5.4677
7875 0.175781 16.0483 15.587 6.0397
8100 0.180804 16.4781 15.3864 6.7348
8325 0.185826 36.5354 35.7982 11.1542
8550 0.190848 36.5372 35.7299 12.4176
8775 0.195871 33.1241 42.5279 11.3813
9000 0.200893 32.6539 35.5415 11.0907
9225 0.205915 32.1845 33.804 11.4843
9450 0.210938 38.731 33.7507 14.8127
9675 0.21596 33.6662 34.1516 11.8298
9900 0.220982 42.1273 33.5276 11.2826
10125 0.226004 32.5631 39.288 11.4287
10350 0.231027 36.9518 45.8425 10.8908
10575 0.236049 32.4421 35.2117 10.8194
10800 0.241071 32.4794 34.9921 11.1698
11025 0.246094 33.0654 33.1655 10.6234
11250 0.251116 32.5447 33.3108 15.451
11475 0.256138 40.6916 33.8261 11.6197
11700 0.261161 40.1112 38.2603 10.4783
11925 0.266183 37.0267 33.3575 13.7192
12150 0.271205 31.8977 34.5712 11.3463
12375 0.276228 32.4746 41.2416 11.1075
12600 0.28125 33.9505 58.6478 12.112
12825 0.286272 39.529 39.0947 14.3347
13050 0.291295 33.8431 33.7112 11.621
13275 0.296317 37.0721 34.6964 10.974
13500 0.301339 31.7825 33.9905 11.5467
13725 0.306362 50.3744 40.0532 13.342
13950 0.311384 32.1239 34.1365 11.191
14175 0.316406 38.7146 36.6377 12.1081
14400 0.321429 39.7735 33.932 11.4828
14625 0.326451 36.356 34.5 10.956
14850 0.331473 36.6845 37.7237 11.7943
15075 0.336496 38.7384 34.9896 12.13
15300 0.341518 35.008 43.2118 11.7895
15525 0.34654 40.2344 40.2432 12.3104
15750 0.351562 35.1539 41.18 11.2383
15975 0.356585 33.7417 40.1576 12.2816
16200 0.361607 42.4948 44.8827 13.6563
16425 0.366629 72.63 74.4648 21.5875
16650 0.371652 75.6084 71.9992 24.9328
16875 0.376674 70.7582 71.734 45.5588
17100 0.381696 77.8828 70.4821 37.2594
17325 0.386719 76.5108 76.6481 37.3583
17550 0.391741 77.2582 70.2887 47.3735
17775 0.396763 126.128 71.3437 38.3411
18000 0.401786 73.0475 69.5942 38.1101
18225 0.406808 79.4192 74.2428 39.6598
18450 0.41183 72.9449 74.7231 38.8303
18675 0.416853 69.1075 71.4046 45.5489
18900 0.421875 68.7098 78.9141 37.9187
19125 0.426897 79.6452 85.0033 43.7259
19350 0.43192 71.6456 78.4715 38.1447
19575 0.436942 72.1798 89.7651 38.4327
19800 0.441964 70.1629 92.0687 38.6802
20025 0.446987 68.2707 80.4119 37.6575
20250 0.452009 70.7959 79.8166 38.1421
20475 0.457031 79.4371 83.4582 38.4825
20700 0.462054 71.1285 79.6056 38.3376
20925 0.467076 69.5305 83.0105 43.0364
21150 0.472098 70.6173 79.958 38.6746
21375 0.477121 68.6709 79.2367 38.4885
21600 0.482143 69.9243 78.4807 39.0369
21825 0.487165 71.2772 70.8251 39.2185
22050 0.492188 71.6383 70.9444 38.4066
22275 0.49721 73.0784 70.3778 38.338
22500 0.502232 70.1868 74.9477 48.4751
22725 0.507254 71.6651 70.6351 47.5598
22950 0.512277 72.0543 70.0301 40.447
23175 0.517299 70.2414 72.3016 47.6806
23400 0.522321 78.8059 70.5893 39.3065
23625 0.527344 82.1668 71.4609 37.9785
23850 0.532366 93.1623 71.2236 38.4593
24075 0.537388 83.6183 70.2974 38.4354
24300 0.542411 76.3109 72.665 38.9432
24525 0.547433 81.5891 69.8021 38.2608
24750 0.552455 80.0576 70.3932 38.5511
24975 0.557478 77.5658 71.3116 38.102
25200 0.5625 77.0192 69.9856 38.9503
25425 0.567522 76.4018 69.4819 39.0099
25650 0.572545 70.2655 81.9753 40.1211
25875 0.577567 68.9164 81.0687 40.7486
26100 0.582589 69.0192 79.1104 38.2395
26325 0.587612 72.3534 77.8591 46.7028
26550 0.592634 68.559 78.8936 39.523
26775 0.597656 75.7498 81.6395 38.5213
27000 0.602679 68.2495 84.8113 38.0615
27225 0.607701 69.3191 78.8611 38.5071
